,hashtag,word_segment,Segmented_Sent
696,#mobilegames,"{'mobile', 'obi', 'games'}",mobile obi games
697,#aml,{'aml'},aml
698,#xiaomimi11,"{'xiaomi', 'xiaomimi11'}",xiaomi xiaomimi11
699,#msp,{'msp'},msp
700,#karznahifarzbhi,{'karznahifarzbhi'},karznahifarzbhi
701,#bhadekatattu,"{'attu', 'ekat', 'had', 'b'}",attu ekat had b
702,#industry,{'industry'},industry
703,#motivationmonday,"{'motivation', 'monday'}",motivation monday
704,#bengalneedsleft,"{'bengal', 'needs', 'left'}",bengal needs left
705,#smart,{'smart'},smart
706,#goals,{'goals'},goals
707,#farmbills2020,{'farmbills2020'},farmbills2020
708,#cleanenergy,"{'clean', 'energy'}",clean energy
709,#brosphoneparts,"{'parts', 'bros', 'phone'}",parts bros phone
710,#motog5g,"{'Motorola', 'motog5g'}",Motorola motog5g
711,#menshealth,"{'mens', 'health'}",mens health
712,#askarun,"{'ask', 'a', 'run'}",ask a run
713,#jio,"{'jio', 'j', 'io'}",jio j io
714,#network,{'network'},network
715,#rememberyouroath,"{'oath', 'your', 'remember'}",oath your remember
716,#therobotmagazine,"{'magazine', 'robot', 'the'}",magazine robot the
717,#awaazstory,"{'az', 'awa', 'story'}",az awa story
718,#charity,{'charity'},charity
719,#reals,{'reals'},reals
720,#greatdeal,"{'great', 'deal'}",great deal
721,#smarttecnhology,"{'ology', 'smart', 'tec', 'nh'}",ology smart tec nh
722,#banloanapps,"{'apps', 'loan', 'ban'}",apps loan ban
723,#flex,{'flex'},flex
724,#galaxya82,"{'a82', 'galaxy', 'Samsung'}",a82 galaxy Samsung
725,#moto,{'moto'},moto
726,#neu,{'neu'},neu
727,#ad,{'ad'},ad
728,#cars,{'cars'},cars
729,#hearthealth,"{'heart', 'health'}",heart health
730,#tradingtips,"{'trading', 'tips'}",trading tips
731,#nyleg,"{'leg', 'ny'}",leg ny
732,#digitalindia,"{'digital', 'india'}",digital india
733,#lfc,{'lfc'},lfc
734,#redminote10pro,"{'Xiaomi', 'redminote10pro'}",Xiaomi redminote10pro
735,#lebanon,{'lebanon'},lebanon
736,#anime,{'anime'},anime
737,#samsunggalaxys21,"{'samsung', 'galaxy', 's21'}",samsung galaxy s21
738,#mi11ultra,"{'mi11', 'ultra', 'Xiaomi'}",mi11 ultra Xiaomi
739,#usa,{'usa'},usa
740,#vivoy51s,"{'vivo', 'vivoy51s'}",vivo vivoy51s
741,#itsecurity,"{'security', 'it'}",security it
742,#encryption,{'encryption'},encryption
743,#realmev15,"{'real', 'mev15', 'realme'}",real mev15 realme
744,#sherandlaila,"{'and', 'laila', 'sher'}",and laila sher
745,#beirutblast,"{'beirut', 'blast'}",beirut blast
746,#techblog,{'techblog'},techblog
747,#williesmith,"{'willie', 'smith'}",willie smith
748,#puresoulsushant,"{'soul', 'pure', 'sushant'}",soul pure sushant
749,#phonemafia,"{'mafia', 'phone'}",mafia phone
750,#mi11,"{'mi11', 'Xiaomi'}",mi11 Xiaomi
751,#xiaomimi11lite,"{'xiaomimi11lite', 'xiaomi'}",xiaomimi11lite xiaomi
752,#worldntdday,"{'world', 'day', 'ntd'}",world day ntd
753,#cardiometabolic,"{'cardio', 'metabolic'}",cardio metabolic
754,#daytrading,"{'day', 'trading'}",day trading
755,#niftybank,"{'bank', 'nifty'}",bank nifty
756,#direstraits,"{'straits', 'dire'}",straits dire
757,#computer,{'computer'},computer
758,#pedsicu,"{'peds', 'icu'}",peds icu
759,#cji,{'cji'},cji
760,#edutwitter,"{'twitter', 'edu'}",twitter edu
761,#modi,{'modi'},modi
762,#vivox60pro,"{'vivox60pro', 'vivo'}",vivox60pro vivo
763,#gearbest,"{'gear', 'best'}",gear best
764,#fintech,"{'fin', 'tech'}",fin tech
765,#cx,{'cx'},cx
766,#3g,"{'Fairphone', '3g'}",Fairphone 3g
767,#familymeeting,"{'meeting', 'family'}",meeting family
768,#americanheartmonth,"{'month', 'heart', 'american'}",month heart american
769,#eflhub,"{'efl', 'hub'}",efl hub
770,#smartgadget,"{'smart', 'gadget'}",smart gadget
771,#wifi7,{'wifi7'},wifi7
772,#stophs2,{'stophs2'},stophs2
773,#privatebank,"{'BlackBerry', 'bank', 'private'}",BlackBerry bank private
774,#like4like,"{'like', '4'}",like 4
775,#augmentedreality,"{'augmented', 'reality'}",augmented reality
776,#ops,{'ops'},ops
777,#spurs,{'spurs'},spurs
778,#indigenous,{'indigenous'},indigenous
779,#techhacks,"{'hacks', 'tech'}",hacks tech
780,#madeinindia,"{'made', 'in', 'india'}",made in india
781,#mobile,"{'mobile', 'obi'}",mobile obi
782,#zte,{'zte'},zte
783,#ux,{'ux'},ux
784,#tunnel,{'tunnel'},tunnel
785,#silversqueeze,"{'silver', 'squeeze'}",silver squeeze
786,#bcpoli,"{'poli', 'bc'}",poli bc
787,#dutywithhumanity,"{'humanity', 'with', 'duty'}",humanity with duty
788,#mr,{'mr'},mr
789,#videoisfuture,"{'is', 'video', 'future'}",is video future
790,#poco,{'poco'},poco
791,#srilanka,{'srilanka'},srilanka
792,#diabetes,{'diabetes'},diabetes
793,#gurugram,"{'gram', 'guru'}",gram guru
794,#ownvoices,"{'own', 'voices'}",own voices
795,#passiton,"{'pass', 'on', 'it'}",pass on it
796,#deeplearning,"{'deep', 'learning'}",deep learning
797,#socialimpact,"{'social', 'impact'}",social impact
798,#ipledgesafebanking,"{'safe', 'banking', 'i', 'pledge'}",safe banking i pledge
799,#mercatom,"{'mercato', 'm'}",mercato m
800,#ban,{'ban'},ban
801,#indiabeingsilenced,"{'india', 'silenced', 'being'}",india silenced being
802,#onlinelearning,"{'learning', 'online'}",learning online
803,#businessagility,"{'agility', 'business'}",agility business
804,#mi11lite,"{'Xiaomi', 'mi11lite'}",Xiaomi mi11lite
805,#gadget,{'gadget'},gadget
806,#bravery,{'bravery'},bravery
807,#hradvisor,"{'hr', 'advisor'}",hr advisor
808,#snapdragon690soc,"{'snapdragon', '690soc'}",snapdragon 690soc
809,#shipping,{'shipping'},shipping
810,#optimism,{'optimism'},optimism
811,#gadgets,{'gadgets'},gadgets
812,#nirmlasitaraman,"{'mla', 'nir', 'an', 'sitaram'}",mla nir an sitaram
813,#conservation,{'conservation'},conservation
814,#sharktank,"{'tank', 'shark'}",tank shark
815,#rozgardo,"{'do', 'gar', 'roz'}",do gar roz
816,#banloan,"{'loan', 'ban'}",loan ban
817,#ruralindia,"{'rural', 'india'}",rural india
818,#itsnotok,"{'its', 'not', 'ok'}",its not ok
819,#bhartiairtel,"{'bharti', 'airtel'}",bharti airtel
820,#insecureborrowers,"{'borrowers', 'insecure'}",borrowers insecure
821,#banks,{'banks'},banks
822,#galaxyzflip5g,"{'zflip5g', 'galaxy', 'Samsung'}",zflip5g galaxy Samsung
823,#bsc,{'bsc'},bsc
824,#brisket,{'brisket'},brisket
825,#dental,{'dental'},dental
826,#invest,{'invest'},invest
827,#lvforunicef,"{'unicef', 'lv', 'for'}",unicef lv for
828,#1,{'1'},1
829,#studentloans,"{'loans', 'student'}",loans student
830,#health,{'health'},health
831,#financeminister,"{'minister', 'finance'}",minister finance
832,#pocox3pro,"{'pocox3pro', 'Xiaomi'}",pocox3pro Xiaomi
833,#wafc,"{'afc', 'w'}",afc w
834,#justiceforrinkusharma,"{'rinku', 'justice', 'sharma', 'for'}",rinku justice sharma for
835,#entrepreneurs,{'entrepreneurs'},entrepreneurs
836,#linux,{'linux'},linux
837,#extenditr1920,"{'r1920', 'it', 'extend'}",r1920 it extend
838,#airtel,{'airtel'},airtel
839,#redmik305g,{'redmik305g'},redmik305g
840,#businesscoach,"{'coach', 'business'}",coach business
841,#aktustudentswantjustice,"{'want', 'a', 'students', 'ktu', 'justice'}",want a students ktu justice
842,#rethinktechnology,"{'rethink', 'technology'}",rethink technology
843,#media,{'media'},media
844,#rubinadilaik,"{'adil', 'aik', 'rubin'}",adil aik rubin
845,#25000,{'25000'},25000
846,#norentforstudentsinmp,"{'rent', 'in', 'students', 'mp', 'no', 'for'}",rent in students mp no for
847,#banking,{'banking'},banking
848,#upthestones,"{'the', 'up', 'stones'}",the up stones
849,#airtel5g,{'airtel5g'},airtel5g
850,#bbcfootball,"{'football', 'bbc'}",football bbc
851,#iost,"{'ost', 'Benefon', 'i'}",ost Benefon i
852,#sulthan,"{'than', 'sul'}",than sul
853,#bidkin,"{'kin', 'bid'}",kin bid
854,#workperks,"{'perks', 'work'}",perks work
855,#covidvaccine,"{'vaccine', 'co', 'vid'}",vaccine co vid
856,#crossrail,{'crossrail'},crossrail
857,#operationhaftavasooli,"{'operation', 'oli', 'vaso', 'hafta'}",operation oli vaso hafta
858,#dsb,{'dsb'},dsb
859,#whateverittakes,"{'it', 'takes', 'whatever'}",it takes whatever
860,#susmayacaz,"{'sus', 'az', 'ac', 'may'}",sus az ac may
861,#instalike,"{'like', 'insta'}",like insta
862,#locate,{'locate'},locate
863,#sentinelsonrail,"{'on', 'sentinels', 'rail'}",on sentinels rail
864,#farmersprotest,"{'protest', 'farmers'}",protest farmers
865,#allbrands,"{'all', 'brands'}",all brands
866,#cashwithdrawal,"{'cash', 'withdrawal'}",cash withdrawal
867,#watford,{'watford'},watford
868,#realmex7,"{'real', 'mex7', 'realme'}",real mex7 realme
869,#schoolsaresafe,"{'schools', 'safe', 'are'}",schools safe are
870,#socialmedia,"{'social', 'media'}",social media
871,#pension,{'pension'},pension
872,#devcommunity,"{'community', 'dev'}",community dev
873,#hidden,{'hidden'},hidden
874,#phones,{'phones'},phones
875,#pmkusumyojnacomponenta,"{'kusum', 'jna', 'pm', 'component', 'a', 'yo'}",kusum jna pm component a yo
876,#lawfirm,"{'law', 'firm'}",law firm
877,#teachers,{'teachers'},teachers
878,#unionbudget2021,"{'union', 'budget', '2021'}",union budget 2021
879,#pmo,{'pmo'},pmo
880,#automotive,{'automotive'},automotive
881,#haftavasooli,"{'oli', 'vaso', 'hafta'}",oli vaso hafta
882,#mi,{'mi'},mi
883,#doge,{'doge'},doge
884,#safersupply,"{'safer', 'supply'}",safer supply
885,#enmnewspolitics,"{'politics', 'enm', 'news'}",politics enm news
886,#closebank,"{'bank', 'close'}",bank close
887,#cheapest5gphone,"{'5g', 'cheapest', 'phone'}",5g cheapest phone
888,#noaa,{'noaa'},noaa
889,#digital,{'digital'},digital
890,#newsmax,{'newsmax'},newsmax
891,#spspchat,"{'spc', 's', 'psp', 'chat'}",spc s psp chat
892,#techsmartxteam,"{'smart', 'team', 'x', 'tech'}",smart team x tech
893,#trumpisanationalsecuritythreat,"{'security', 'a', 'national', 'threat', 'is', 'trump'}",security a national threat is trump
894,#bitcoin,"{'bit', 'coin'}",bit coin
895,#stevengerrard,"{'gerrard', 'steven'}",gerrard steven
896,#weekly,{'weekly'},weekly
897,#approve,{'approve'},approve
898,#togetherwedeliver,"{'we', 'deliver', 'together'}",we deliver together
899,#icicibank,{'icicibank'},icicibank
900,#loan,{'loan'},loan
901,#genetics,{'genetics'},genetics
902,#directdilse,"{'d', 'direct', 'ilse'}",d direct ilse
903,#game,{'game'},game
904,#micromaxisback,"{'maxis', 'micro', 'back'}",maxis micro back
905,#april,{'april'},april
906,#vivoz6,"{'vivoz6', 'vivo'}",vivoz6 vivo
907,#paris,{'paris'},paris
908,#bestsmartphone,"{'best', 'smartphone'}",best smartphone
909,#blackinneuro,"{'euro', 'XOLO', 'inn', 'black'}",euro XOLO inn black
910,#makeapromise,"{'promise', 'a', 'make'}",promise a make
911,#gsm,{'gsm'},gsm
912,#hardware,{'hardware'},hardware
913,#karnan,"{'karn', 'an'}",karn an
914,#oppo#smartphone,"{'oppo', 'smartphone'}",oppo smartphone
915,#fcb,{'fcb'},fcb
916,#saveus,"{'save', 'us'}",save us
917,#teamom,"{'team', 'om'}",team om
918,#s,{'s'},s
919,#diet,{'diet'},diet
920,#personalloan,"{'personal', 'loan'}",personal loan
921,#rubinaforthewin,"{'win', 'rubina', 'the', 'for'}",win rubina the for
922,#yorkshire,{'yorkshire'},yorkshire
923,#gadgetnews,"{'gadget', 'news'}",gadget news
924,#agerelaxation4ews,"{'age', 'relaxation', '4ews'}",age relaxation 4ews
925,#hasbro,{'hasbro'},hasbro
926,#x60,"{'vivo', 'x60'}",vivo x60
927,#likeforlike,"{'like', 'for'}",like for
928,#serverless,{'serverless'},serverless
929,#clubhouse,{'clubhouse'},clubhouse
930,#hijab,{'hijab'},hijab
931,#doorstepbanking,"{'doorstep', 'banking'}",doorstep banking
932,#rt,{'rt'},rt
933,#motivation,{'motivation'},motivation
934,#doctor,{'doctor'},doctor
935,#verizon,{'verizon'},verizon
936,#where,{'where'},where
937,#happybirthdaysachin,"{'birthday', 'happy', 'sachin'}",birthday happy sachin
938,#helpmyanmar,"{'myanmar', 'help'}",myanmar help
939,#arabicemirates,"{'emirates', 'arabic'}",emirates arabic
940,#webinar,{'webinar'},webinar
941,#businesstransformation,"{'transformation', 'business'}",transformation business
942,#immediately,{'immediately'},immediately
943,#beansw,"{'w', 'beans'}",w beans
944,#futuretechnology,"{'technology', 'future'}",technology future
945,#data,{'data'},data
946,#tip,{'tip'},tip
947,#lockdown,{'lockdown'},lockdown
948,#smarthomes,"{'homes', 'smart'}",homes smart
949,#rbi,{'rbi'},rbi
950,#automation,{'automation'},automation
951,#protectwhatyoulove,"{'you', 'love', 'protect', 'what'}",you love protect what
952,#politics,{'politics'},politics
953,#divergentdigital,"{'digital', 'divergent'}",digital divergent
954,#stopprivatizationofbank,"{'of', 'bank', 'stop', 'privatization'}",of bank stop privatization
955,#spectrum,{'spectrum'},spectrum
956,#mancity,"{'man', 'city'}",man city
957,#budget2021,"{'budget', '2021'}",budget 2021
958,#processor,{'processor'},processor
959,#ssd,{'ssd'},ssd
960,#tigraycantwait,"{'wait', 'tigray', 'cant'}",wait tigray cant
961,#dcfc,{'dcfc'},dcfc
962,#february,{'february'},february
963,#pvfc,"{'pv', 'fc'}",pv fc
964,#mppolicebhartinotificationded,"{'ded', 'mp', 'bharti', 'notification', 'police'}",ded mp bharti notification police
965,#isd2021myk,{'isd2021myk'},isd2021myk
966,#psg,{'psg'},psg
967,#batterylife,"{'battery', 'life'}",battery life
968,#cellphone,"{'cell', 'phone'}",cell phone
969,#sufc,"{'s', 'ufc'}",s ufc
970,#realmenewphonelaunched,"{'new', 'realme', 'real', 'phone', 'me', 'launched'}",new realme real phone me launched
971,#realstate,"{'real', 'state'}",real state
972,#car,{'car'},car
973,#highriskcovid19,"{'high', 'risk', 'covid19'}",high risk covid19
974,#samsungexynos10805g,"{'samsung', 'exynos10805g'}",samsung exynos10805g
975,#farmers,{'farmers'},farmers
976,#ebay,{'ebay'},ebay
977,#iiot,"{'ot', 'ii'}",ot ii
978,#oneplus9,"{'oneplus9', 'XOLO', 'OnePlus'}",oneplus9 XOLO OnePlus
979,#pocox3,"{'Xiaomi', 'pocox3'}",Xiaomi pocox3
980,#voteforleaseholders,"{'leaseholders', 'vote', 'for'}",leaseholders vote for
981,#gaming,{'gaming'},gaming
982,#samarpandiwas,"{'and', 'was', 'i', 'sam', 'arp'}",and was i sam arp
983,#iqoo9,"{'iqoo9', 'iqoo'}",iqoo9 iqoo
984,#realmeracepro,"{'realme', 'pro', 'real', 'me', 'race'}",realme pro real me race
985,#pocom3,"{'Xiaomi', 'pocom3'}",Xiaomi pocom3
986,#sharemarket,{'sharemarket'},sharemarket
987,#hp,{'hp'},hp
988,#page,{'page'},page
989,#shares,{'shares'},shares
990,#tradecreditinsurance,"{'credit', 'trade', 'insurance'}",credit trade insurance
991,#arteta,{'arteta'},arteta
992,#corona,{'corona'},corona
993,#friendcode,"{'friend', 'code'}",friend code
994,#pipacovidreport,"{'pipa', 'co', 'report', 'Sharp', 'vid'}",pipa co report Sharp vid
995,#realestate,"{'real', 'estate'}",real estate
996,#ta1329,{'ta1329'},ta1329
997,#acer,{'acer'},acer
998,#adroid,"{'a', 'droid'}",a droid
999,#wfn,{'wfn'},wfn
1000,#courage,{'courage'},courage
1001,#covid19vaccine,"{'vaccine', 'covid19'}",vaccine covid19
1002,#gamestop,{'gamestop'},gamestop
1003,#gst,{'gst'},gst
1004,#smartglasses,"{'smart', 'glasses'}",smart glasses
1005,#lgwing,"{'wing', 'lg'}",wing lg
1006,#futurex,"{'x', 'future'}",x future
1007,#pocom2pro,"{'Xiaomi', 'pocom2pro'}",Xiaomi pocom2pro
1008,#buisness,{'buisness'},buisness
1009,#xrpcommunity,"{'community', 'xrp'}",community xrp
1010,#2101##jyotish,{'2101jyotish'},2101jyotish
1011,#bcsm,"{'csm', 'b'}",csm b
1012,#noexample,"{'example', 'no'}",example no
1013,#windows,{'windows'},windows
1014,#coal,{'coal'},coal
1015,#presidentkovind,"{'vind', 'president', 'Palm', 'ko'}",vind president Palm ko
1016,#oneplusn1,"{'oneplusn1', 'XOLO', 'OnePlus'}",oneplusn1 XOLO OnePlus
1017,#savethem,"{'save', 'them'}",save them
1018,#smartnews,"{'smart', 'news'}",smart news
1019,#techtrick,"{'trick', 'tech'}",trick tech
1020,#usmnt,"{'us', 'mnt'}",us mnt
1021,#samsunggalaxy,"{'samsung', 'galaxy'}",samsung galaxy
1022,#mondaymotivation,"{'motivation', 'monday'}",motivation monday
1023,#smartphone,{'smartphone'},smartphone
1024,#onlinebanking,"{'banking', 'online'}",banking online
1025,#stayhome,"{'home', 'stay'}",home stay
1026,#yieldfarming,"{'farming', 'yield'}",farming yield
1027,#noloanrecovery2021,"{'2021', 'loan', 'no', 'recovery'}",2021 loan no recovery
1028,#kamyabjawan,"{'ab', 'jawan', 'kamy'}",ab jawan kamy
1029,#binance,"{'bin', 'ance'}",bin ance
1030,#coronavirus,{'coronavirus'},coronavirus
1031,#vivov20se,"{'vivo', 'vivov20se'}",vivo vivov20se
1032,#burma,{'burma'},burma
1033,#nokia,{'nokia'},nokia
1034,#camera,{'camera'},camera
1035,#trendingnow,"{'trending', 'now'}",trending now
1036,#freefromhijab,"{'hijab', 'free', 'from'}",hijab free from
1037,#sensex,{'sensex'},sensex
1038,#haematology,{'haematology'},haematology
1039,#performance,{'performance'},performance
1040,#image#,{'image'},image
1041,#x60proplus,"{'vivo', 'x60proplus'}",vivo x60proplus
1042,#paybyimobilepay,"{'i', 'mobile', 'pay', 'imo', 'by', 'obi'}",i mobile pay imo by obi
1043,#pnbpathshala,"{'path', 'pnb', 'shala'}",path pnb shala
1044,#python,{'python'},python
1045,#cm,{'cm'},cm
1046,#tigrayna,"{'tigray', 'na'}",tigray na
1047,#chequepickupservice,"{'service', 'pickup', 'cheque'}",service pickup cheque
